distance,x,y,value
0.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,7.240704500978480951e+00
1.803607214428857852e-01,4.000000000000000000e+01,1.803607214428857852e-01,1.028164613636928593e+01
3.607214428857715705e-01,4.000000000000000000e+01,3.607214428857715705e-01,1.231572080887149845e+01
5.410821643286574112e-01,4.000000000000000000e+01,5.410821643286574112e-01,1.231572080887149667e+01
7.214428857715431409e-01,4.000000000000000000e+01,7.214428857715431409e-01,1.133732566241421225e+01
9.018036072144288706e-01,4.000000000000000000e+01,9.018036072144288706e-01,9.859850163471142181e+00
1.082164328657314822e+00,4.000000000000000000e+01,1.082164328657314822e+00,8.296959215234140927e+00
1.262525050100200552e+00,4.000000000000000000e+01,1.262525050100200552e+00,7.240704500978480951e+00
1.442885771543086282e+00,4.000000000000000000e+01,1.442885771543086282e+00,7.240704500978480951e+00
1.623246492985972012e+00,4.000000000000000000e+01,1.623246492985972012e+00,7.240704500978481839e+00
1.803607214428857741e+00,4.000000000000000000e+01,1.803607214428857741e+00,7.240704500978480951e+00
1.983967935871743693e+00,4.000000000000000000e+01,1.983967935871743693e+00,7.240704500978480951e+00
2.164328657314629645e+00,4.000000000000000000e+01,2.164328657314629645e+00,6.684340631687389234e+00
2.344689378757515374e+00,4.000000000000000000e+01,2.344689378757515374e+00,4.933258558865967203e+00
2.525050100200401104e+00,4.000000000000000000e+01,2.525050100200401104e+00,4.318330071754767907e+00
2.705410821643286834e+00,4.000000000000000000e+01,2.705410821643286834e+00,4.318330071754768795e+00
2.885771543086172564e+00,4.000000000000000000e+01,2.885771543086172564e+00,6.034273373884121661e+00
3.066132264529058293e+00,4.000000000000000000e+01,3.066132264529058293e+00,7.240704500978480951e+00
3.246492985971944023e+00,4.000000000000000000e+01,3.246492985971944023e+00,7.240704500978480951e+00
3.426853707414829753e+00,4.000000000000000000e+01,3.426853707414829753e+00,7.240704500978480951e+00
3.607214428857715482e+00,4.000000000000000000e+01,3.607214428857715482e+00,7.240704500978480951e+00
3.787575150300601656e+00,4.000000000000000000e+01,3.787575150300601656e+00,7.240704500978481839e+00
3.967935871743487386e+00,4.000000000000000000e+01,3.967935871743487386e+00,7.240704500978480951e+00
